gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Female,42,Single,GCSE/CSE,British,White,"10,400 to 15,600",The North,No,,,
Female,36,Single,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,,,
Male,89,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,64,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,76,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,61,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,81,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,20,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20.0,10.0,Packets
Female,82,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,23,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,20.0,10.0,Packets
Male,41,Married,GCSE/O Level,English,White,"Above 36,400",The North,No,,,
Female,31,Single,A Levels,British,White,"15,600 to 20,800",The North,No,,,
Female,44,Married,A Levels,English,White,"20,800 to 28,600",The North,Yes,5.0,0.0,Packets
Female,42,Married,Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
Male,67,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Male,53,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,76,Married,No Qualification,English,Black,"10,400 to 15,600",The North,No,,,
Male,40,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,30.0,30.0,Hand-Rolled
Male,44,Married,A Levels,British,White,"15,600 to 20,800",The North,No,,,
Female,31,Separated,GCSE/O Level,British,White,"15,600 to 20,800",The North,Yes,20.0,20.0,Packets
Male,43,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Hand-Rolled
Female,36,Separated,A Levels,British,White,"10,400 to 15,600",The North,No,,,
Female,34,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,18,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,10.0,3.0,Packets
Male,56,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,73,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Female,22,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Packets
Female,33,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,,,
Male,27,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,Yes,10.0,0.0,Packets
Female,33,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,63,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,64,Married,A Levels,British,White,"2,600 to 5,200",The North,No,,,
Male,54,Married,Degree,British,White,"Above 36,400",The North,No,,,
Female,34,Married,Degree,English,White,"Under 2,600",The North,No,,,
Male,78,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Female,54,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Male,56,Separated,GCSE/CSE,English,White,"28,600 to 36,400",The North,No,,,
Male,78,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,37,Married,A Levels,British,White,"5,200 to 10,400",The North,No,,,
Male,54,Married,Degree,British,White,"28,600 to 36,400",The North,No,,,
Female,40,Married,GCSE/O Level,British,White,"20,800 to 28,600",The North,Yes,15.0,15.0,Hand-Rolled
Female,64,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,42,Married,GCSE/O Level,Other,White,"5,200 to 10,400",The North,No,,,
Female,34,Married,Higher/Sub Degree,British,White,"2,600 to 5,200",The North,No,,,
Female,64,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,50,Divorced,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,31,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
Female,37,Married,Degree,English,White,"Above 36,400",The North,No,,,
Male,81,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
Male,57,Separated,No Qualification,Welsh,White,"5,200 to 10,400",The North,Yes,10.0,10.0,Hand-Rolled
Female,59,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,66,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,57,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,49,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Female,62,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,17,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
Female,36,Single,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,31,Single,No Qualification,English,White,Refused,The North,Yes,7.0,7.0,Packets
Female,61,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25.0,25.0,Packets
Male,71,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,Yes,40.0,40.0,Packets
Female,75,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,12.0,12.0,Packets
Female,43,Married,Higher/Sub Degree,English,White,"Above 36,400",The North,No,,,
Female,68,Widowed,No Qualification,English,White,Refused,The North,No,,,
Female,65,Widowed,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,85,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,35,Separated,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Both/Mainly Hand-Rolled
Female,52,Married,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,28,Single,ONC/BTEC,English,White,"5,200 to 10,400",The North,Yes,15.0,15.0,Packets
Male,52,Single,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,,,
Male,67,Widowed,No Qualification,Irish,White,"5,200 to 10,400",The North,Yes,25.0,25.0,Hand-Rolled
Female,35,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,30.0,30.0,Both/Mainly Hand-Rolled
Female,68,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,34,Married,Higher/Sub Degree,Other,White,"10,400 to 15,600",The North,No,,,
Female,57,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20.0,12.0,Hand-Rolled
Male,37,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,8.0,8.0,Hand-Rolled
Female,37,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15.0,15.0,Packets
Male,43,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,Yes,15.0,15.0,Packets
Male,59,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
Female,28,Single,Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
Female,60,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,16,Single,GCSE/O Level,British,White,"Under 2,600",The North,No,,,
Male,37,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,40.0,40.0,Hand-Rolled
Male,34,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Female,73,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Male,24,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
Female,36,Single,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
Male,39,Separated,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,20.0,20.0,Both/Mainly Packets
Female,74,Married,No Qualification,English,White,Refused,The North,No,,,
Female,32,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15.0,15.0,Packets
Female,30,Married,Degree,Other,White,"15,600 to 20,800",The North,No,,,
Female,68,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,49,Married,No Qualification,Refused,Refused,Refused,The North,No,,,
Female,47,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,30,Single,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,Yes,30.0,30.0,Hand-Rolled
Male,60,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15.0,8.0,Hand-Rolled
Male,72,Single,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
Male,73,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,48,Widowed,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,20.0,4.0,Packets
Male,53,Divorced,Degree,English,White,"Above 36,400",The North,No,,,
Male,17,Single,GCSE/O Level,English,White,Refused,The North,No,,,
Female,58,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,34,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
Male,44,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Male,23,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,49,Married,Degree,British,White,"20,800 to 28,600",The North,No,,,
Male,30,Married,Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,61,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,38,Separated,A Levels,British,White,"10,400 to 15,600",The North,Yes,9.0,9.0,Hand-Rolled
Male,30,Single,Degree,British,White,"10,400 to 15,600",The North,No,,,
Female,44,Married,A Levels,English,White,"15,600 to 20,800",The North,No,,,
Male,91,Widowed,No Qualification,English,White,"Under 2,600",The North,No,,,
Male,40,Divorced,GCSE/O Level,British,White,"Above 36,400",The North,No,,,
Female,63,Married,Degree,British,White,"2,600 to 5,200",The North,No,,,
Female,61,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,30.0,30.0,Packets
Female,40,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
Female,57,Married,No Qualification,British,White,"Under 2,600",The North,Yes,15.0,15.0,Both/Mainly Packets
Female,41,Married,Degree,British,White,"28,600 to 36,400",The North,No,,,
Female,32,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,7.0,5.0,Hand-Rolled
Male,76,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,35,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,2.0,2.0,Packets
Male,70,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,75,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,74,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Male,49,Married,Degree,British,White,"Above 36,400",The North,No,,,
Female,56,Married,GCSE/O Level,British,White,"Under 2,600",The North,No,,,
Male,60,Married,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,72,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,17,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,23,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,79,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,65,Separated,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,57,Married,Degree,English,White,"5,200 to 10,400",The North,No,,,
Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Male,79,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,71,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,87,Widowed,No Qualification,Refused,Refused,Unknown,The North,No,,,
Male,59,Married,Degree,English,White,"28,600 to 36,400",The North,Yes,40.0,40.0,Packets
Male,21,Single,ONC/BTEC,English,White,"10,400 to 15,600",The North,Yes,20.0,8.0,Packets
Female,66,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Male,58,Married,Higher/Sub Degree,Welsh,White,"28,600 to 36,400",The North,No,,,
Male,38,Married,GCSE/O Level,English,White,"Above 36,400",The North,Yes,30.0,15.0,Both/Mainly Packets
Male,61,Widowed,Other/Sub Degree,Scottish,White,"15,600 to 20,800",The North,No,,,
Male,37,Separated,Degree,English,White,"Above 36,400",The North,No,,,
Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,34,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,34,Married,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,No,,,
Female,20,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,No,,,
Female,77,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Female,31,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,20.0,15.0,Hand-Rolled
Male,28,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,2.0,2.0,Packets
Female,36,Married,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,,,
Female,16,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,12.0,12.0,Packets
Male,42,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,47,Married,Higher/Sub Degree,English,White,"Under 2,600",The North,No,,,
Male,42,Married,GCSE/CSE,British,White,"28,600 to 36,400",The North,No,,,
Female,67,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,72,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,40,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,25.0,30.0,Packets
Female,34,Single,Degree,English,White,"Above 36,400",The North,No,,,
Male,75,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Female,35,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,40,Separated,No Qualification,British,White,"5,200 to 10,400",The North,Yes,10.0,10.0,Packets
Female,46,Married,No Qualification,British,White,"15,600 to 20,800",The North,No,,,
Male,23,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Male,42,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Male,63,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,33,Married,A Levels,British,White,"5,200 to 10,400",The North,No,,,
Female,31,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Male,54,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
Female,24,Single,Degree,English,White,"15,600 to 20,800",The North,Yes,12.0,8.0,Hand-Rolled
Female,80,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,77,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Male,51,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,,,
Male,27,Single,ONC/BTEC,English,White,Refused,The North,Yes,15.0,15.0,Packets
Female,75,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,24,Single,Degree,Other,White,"5,200 to 10,400",The North,No,,,
Male,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,50.0,50.0,Both/Mainly Packets
Female,20,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,No,,,
Male,18,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,No,,,
Female,25,Separated,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
Female,55,Separated,No Qualification,English,Mixed,"5,200 to 10,400",The North,Yes,10.0,7.0,Both/Mainly Hand-Rolled
Female,29,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,Yes,10.0,5.0,Packets
Female,67,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,79,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,44,Single,No Qualification,British,White,"20,800 to 28,600",The North,No,,,
Male,47,Married,Degree,British,White,"20,800 to 28,600",The North,No,,,
Female,41,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,31,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,5.0,0.0,Packets
Male,32,Married,Other/Sub Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
Female,68,Widowed,No Qualification,English,White,Refused,The North,No,,,
Female,84,Widowed,No Qualification,British,White,"Under 2,600",The North,No,,,
Male,67,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,49,Married,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
Male,69,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,6.0,8.0,Hand-Rolled
Male,64,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,Yes,16.0,18.0,Packets
Male,62,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
Male,52,Divorced,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Male,45,Married,ONC/BTEC,English,White,"28,600 to 36,400",The North,No,,,
Female,28,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15.0,15.0,Packets
Female,36,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
Female,73,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,48,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,67,Widowed,No Qualification,British,White,"10,400 to 15,600",The North,Yes,10.0,10.0,Both/Mainly Hand-Rolled
Female,38,Divorced,GCSE/O Level,British,White,"20,800 to 28,600",The North,No,,,
Female,40,Divorced,GCSE/CSE,English,White,"10,400 to 15,600",The North,Yes,5.0,0.0,Packets
Male,43,Single,Other/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,30,Single,Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,70,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,82,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,78,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,21,Single,GCSE/O Level,English,White,"Under 2,600",The North,Yes,20.0,10.0,Packets
Male,67,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Male,16,Single,GCSE/O Level,English,White,Refused,The North,No,,,
Female,21,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,Yes,40.0,15.0,Packets
Male,68,Separated,No Qualification,English,White,"5,200 to 10,400",The North,Yes,8.0,8.0,Packets
Male,41,Married,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20.0,10.0,Packets
Male,33,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Female,28,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Female,75,Married,No Qualification,British,White,"2,600 to 5,200",The North,Yes,5.0,5.0,Packets
Female,21,Single,Other/Sub Degree,English,White,"5,200 to 10,400",The North,Yes,5.0,10.0,Packets
Female,69,Divorced,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
Female,38,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,33,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,10.0,4.0,Packets
Female,47,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,44,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,35.0,35.0,Hand-Rolled
Female,74,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,29,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
Female,23,Married,A Levels,Other,Asian,"Under 2,600",The North,No,,,
Female,72,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,31,Widowed,No Qualification,English,Asian,"5,200 to 10,400",The North,Yes,10.0,8.0,Packets
Female,48,Married,No Qualification,British,Asian,"Under 2,600",The North,No,,,
Female,29,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,72,Married,Other/Sub Degree,English,Black,"5,200 to 10,400",The North,No,,,
Female,52,Married,No Qualification,English,White,Unknown,The North,No,,,
Female,68,Single,Degree,English,White,"5,200 to 10,400",The North,No,,,
Male,48,Married,Other/Sub Degree,British,Chinese,"15,600 to 20,800",The North,Yes,40.0,40.0,Both/Mainly Packets
Female,55,Married,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
Female,23,Married,ONC/BTEC,British,White,"10,400 to 15,600",The North,Yes,7.0,7.0,Packets
Female,66,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,33,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
Female,37,Married,GCSE/CSE,British,White,"Under 2,600",The North,Yes,10.0,10.0,Packets
Male,42,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Female,46,Married,No Qualification,British,White,"10,400 to 15,600",The North,Yes,20.0,20.0,Hand-Rolled
Male,57,Married,Other/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,36,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
Female,51,Married,GCSE/O Level,Scottish,White,"20,800 to 28,600",The North,No,,,
Female,18,Single,GCSE/O Level,British,White,Refused,The North,Yes,8.0,8.0,Hand-Rolled
Female,69,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
Male,30,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
Male,51,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,63,Married,No Qualification,British,Asian,"5,200 to 10,400",The North,No,,,
Female,31,Single,Degree,English,White,"28,600 to 36,400",The North,No,,,
Male,58,Single,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
Male,50,Married,GCSE/CSE,English,White,"20,800 to 28,600",The North,Yes,15.0,15.0,Packets
Female,67,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Hand-Rolled
Male,20,Single,A Levels,English,White,Refused,The North,No,,,
Female,45,Single,Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,26,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,30,Single,Degree,British,White,"28,600 to 36,400",The North,No,,,
Female,43,Married,Degree,Other,White,Refused,The North,No,,,
Male,73,Widowed,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Female,52,Married,Higher/Sub Degree,British,White,"Under 2,600",The North,No,,,
Male,18,Single,No Qualification,British,White,"10,400 to 15,600",The North,Yes,15.0,10.0,Both/Mainly Hand-Rolled
Male,52,Married,No Qualification,English,White,"28,600 to 36,400",The North,No,,,
Male,33,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,56,Divorced,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,65,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,30,Single,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,40,Married,No Qualification,British,White,"5,200 to 10,400",The North,Yes,10.0,1.0,Both/Mainly Hand-Rolled
Female,26,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Male,74,Single,No Qualification,Refused,Refused,Refused,The North,No,,,
Female,44,Married,Degree,Welsh,White,"28,600 to 36,400",The North,No,,,
Female,80,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,67,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
